recipeid;row;text
1;1;Sätt på en stor kastrull med vatten till spaghettin.
1;2;Skala och riv moroten grovt på ett rivjärn. Skala och hacka löken.
1;3;Bryn färsen i olivoljan i en stor kastrull eller stekpanna med höga kanter. Blanda i morot och lök och låt fräsa ca 3 minuter.
1;4;Blanda ner oregano, krossade tomater, vatten, tomatpuré, soja och smulad buljongtärning.
1;5;Sänk värmen och låt såsen sjuda ca 10 minuter under lock. Smaka av med salt och peppar.
1;6;Koka pastan enligt anvisningen på förpackningen.
1;7;Servera köttfärssåsen med spaghetti och ruccola.
2;1;Skär köttet i ca 5x5 cm stora bitar. Skär sidfläsket i små tärningar. Skala schalottenlök, vitlök och morötter. Skär schalottenlök och morötter i stora bitar. Skiva vitlöken.
2;2;Fräs schalottenlök, vitlök, morötter, hälften av fläsket och tomatpurén i en stor gryta i hälften av smöret tills löken mjuknar.
2;3;Bryn köttet i resten av smöret i en stor stekpanna tills det får färg runtom. Tillsätt vattnet, låt koka någon minut och häll ner i grytan med grönsaksfräset. Pudra över mjöl och rör om. Tillsätt vin, fond, soja, timjan och lagerblad.
2;4;Låt koka upp och skumma av. Sjud på svag värme med locket på glänt ca 1 ½–2 timmar tills köttet är mört.
2;5;Potatismos: Skala och koka potatisen mjuk i lättsaltat vatten. Häll av och ånga av. Fräs vitlöken i smöret. Häll i grädde och mjölk och låt koka upp. Pressa potatisen och vispa ihop med lökgrädden. Tillsätt citronskal och smaka av med salt.
2;6;Svampfräs: Skala steklöken och halvera om de är stora. Ansa och halvera champinjonerna. Stek lök, champinjoner och resten av sidfläsket i smöret tills det får färg och löken är mjuk.
2;7;Smaka av grytan med salt och peppar. Toppa med svampfräset och servera med potatismoset.
3;1;Sätt ugnen på 125˚C.
3;2;Skala och finhacka löken. Fräs mjuk i oljan. Lägg löken på en tallrik och låt den svalna.
3;3;Blanda ströbrödet med den syrade grädden, låt stå och svälla ca 15 minuter. Hacka dragonen. Riv det yttersta skalet av citronen.
3;4;Blanda färsen med lök, salt, peppar, dragon och citronskal. Rör ner senapen och ströbrödsblandningen.
3;5;Forma färsen till köttbullar. Bryn dem runtom i smöret i en stekpanna. Sätt in köttbullarna i ugnen tills köttbullarnas innertemperatur är 72°C, ca 10 minuter.
4;1;Koka nudlarna enligt anvisning på förpackningen. Spola i kallt vatten och blanda med olja så de inte klibbar ihop.
4;2;Skala och finhacka vitlöken. Skär broccolin i buketter. Skär kålen i stora bitar. Skala och strimla moroten. Strimla fläskfilén.
4;3;Rör ihop fond, socker, sesamolja, ostronsås, soja, peppar och vatten.
4;4;Hetta upp en wokpanna med olja. Fräs vitlöken någon minut och tillsätt fläskfilén. Låt steka 4–5 minuter tills fläskfilén är klar.
4;5;Tillsätt broccoli, vitkål, morot, nudlar och såsen. Woka 6–7 minuter och servera direkt.
5;1;Tina fisken (om fryst används).
5;2;Skala och koka potatisen.
